name,set,number,rarity,variant,date,market_price
Escavalier,Black Bolt,138,Illustration Rare,holofoil,2026-07-20,18.55
Espathra,Paradox Rift,197,Illustration Rare,holofoil,2026-07-20,8.68
Ethan's Typhlosion,Destined Rivals,190,Illustration Rare,holofoil,2026-07-20,30.17
Excadrill,Temporal Forces,174,Illustration Rare,holofoil,2026-07-20,11.79
Exeggcute,Surging Sparks,192,Illustration Rare,holofoil,2026-07-20,8.25
Exeggutor,Mega Evolution,135,Illustration Rare,holofoil,2026-07-20,5.13
Farigiraf,Paldea Evolved,228,Illustration Rare,holofoil,2026-07-20,15.75
Feebas,Surging Sparks,198,Illustration Rare,holofoil,2026-07-20,10.0
Ferroseed,White Flare,148,Illustration Rare,holofoil,2026-07-20,7.78
Ferrothorn,Paradox Rift,209,Illustration Rare,holofoil,2026-07-20,6.12
Ferrothorn,White Flare,149,Illustration Rare,holofoil,2026-07-20,20.04
Fezandipiti,Shrouded Fable,73,Illustration Rare,holofoil,2026-07-20,15.79
Fidough,Scarlet & Violet,213,Illustration Rare,holofoil,2026-07-20,27.95
Flamigo,Paldea Evolved,227,Illustration Rare,holofoil,2026-07-20,11.14
Flapple,Surging Sparks,210,Illustration Rare,holofoil,2026-07-20,4.96
Fletchinder,Paldea Evolved,199,Illustration Rare,holofoil,2026-07-20,20.58
Floragato,Paldea Evolved,197,Illustration Rare,holofoil,2026-07-20,23.2
Flygon,Phantasmal Flames,101,Illustration Rare,holofoil,2026-07-20,5.01
Foongus,Black Bolt,95,Illustration Rare,holofoil,2026-07-20,19.07
Fraxure,Shrouded Fable,77,Illustration Rare,holofoil,2026-07-20,18.94
Fraxure,Black Bolt,146,Illustration Rare,holofoil,2026-07-20,32.07
Frigibax,Paldea Evolved,208,Illustration Rare,holofoil,2026-07-20,25.45
Frillish,White Flare,126,Illustration Rare,holofoil,2026-07-20,15.27
Froslass,Twilight Masquerade,174,Illustration Rare,holofoil,2026-07-20,7.89
Fuecoco,Paldea Evolved,201,Illustration Rare,holofoil,2026-07-20,59.42
Furret,Journey Together,168,Illustration Rare,holofoil,2026-07-20,9.31
Galvantula,White Flare,117,Illustration Rare,holofoil,2026-07-20,19.97
Garbodor,Paradox Rift,204,Illustration Rare,holofoil,2026-07-20,19.69
Garbodor,White Flare,141,Illustration Rare,holofoil,2026-07-20,21.9
Garganacl,Paradox Rift,202,Illustration Rare,holofoil,2026-07-20,6.56
Garganacl,Mega Evolution,147,Illustration Rare,holofoil,2026-07-20,1.49
Gastly,Temporal Forces,177,Illustration Rare,holofoil,2026-07-20,102.59
Gigalith,White Flare,129,Illustration Rare,holofoil,2026-07-20,19.38
Gimmighoul,Paradox Rift,198,Illustration Rare,holofoil,2026-07-20,14.99
Gloom,Obsidian Flames,198,Illustration Rare,holofoil,2026-07-20,26.94
Golett,Black Bolt,122,Illustration Rare,holofoil,2026-07-20,13.43
Golurk,Black Bolt,123,Illustration Rare,holofoil,2026-07-20,16.65
Gothita,White Flare,124,Illustration Rare,holofoil,2026-07-20,25.29
Gothorita,Paldea Evolved,213,Illustration Rare,holofoil,2026-07-20,13.35
Gothorita,White Flare,125,Illustration Rare,holofoil,2026-07-20,18.85
Grafaiai,Paldea Evolved,223,Illustration Rare,holofoil,2026-07-20,8.49
Greavard,Scarlet & Violet,214,Illustration Rare,holofoil,2026-07-20,22.17
Grotle,Temporal Forces,164,Illustration Rare,holofoil,2026-07-20,15.99
Groudon,Paradox Rift,199,Illustration Rare,holofoil,2026-07-20,117.67
Gulpin,Stellar Crown,154,Illustration Rare,holofoil,2026-07-20,14.21
Gumshoos,Mega Evolution,153,Illustration Rare,holofoil,2026-07-20,3.0
Gurdurr,Black Bolt,126,Illustration Rare,holofoil,2026-07-20,12.34
Haxorus,Black Bolt,147,Illustration Rare,holofoil,2026-07-20,76.53
Heatmor,White Flare,104,Illustration Rare,holofoil,2026-07-20,9.1
Heliolisk,Twilight Masquerade,177,Illustration Rare,holofoil,2026-07-20,6.23
Helioptile,Mega Evolution,143,Illustration Rare,holofoil,2026-07-20,3.55
Heracross,Paldea Evolved,194,Illustration Rare,holofoil,2026-07-20,33.54
Herdier,White Flare,155,Illustration Rare,holofoil,2026-07-20,18.7
Hisuian Growlithe,Twilight Masquerade,181,Illustration Rare,holofoil,2026-07-20,30.49
Hop's Wooloo,Journey Together,170,Illustration Rare,holofoil,2026-07-20,5.06
Horsea,Shrouded Fable,67,Illustration Rare,holofoil,2026-07-20,49.46
Houndoom,Shrouded Fable,66,Illustration Rare,holofoil,2026-07-20,55.56
Houndour,Obsidian Flames,204,Illustration Rare,holofoil,2026-07-20,9.97
Houndstone,Mega Evolution,145,Illustration Rare,holofoil,2026-07-20,2.7
Hydrapple,Destined Rivals,188,Illustration Rare,holofoil,2026-07-20,4.81
Infernape,Twilight Masquerade,173,Illustration Rare,holofoil,2026-07-20,15.2
Inteleon,Mega Evolution,142,Illustration Rare,holofoil,2026-07-20,2.47
Iono's Kilowattrel,Journey Together,163,Illustration Rare,holofoil,2026-07-20,5.76
Iron Jugulis,Paradox Rift,216,Illustration Rare,holofoil,2026-07-20,11.62
Iron Moth,Paradox Rift,187,Illustration Rare,holofoil,2026-07-20,8.9
Ivysaur,151,167,Illustration Rare,holofoil,2026-07-20,46.25
Ivysaur,Mega Evolution,134,Illustration Rare,holofoil,2026-07-20,21.66
Joltik,Paradox Rift,196,Illustration Rare,holofoil,2026-07-20,29.21
Joltik,Stellar Crown,150,Illustration Rare,holofoil,2026-07-20,9.07
Joltik,White Flare,116,Illustration Rare,holofoil,2026-07-20,34.29
Kangaskhan,Destined Rivals,204,Illustration Rare,holofoil,2026-07-20,12.31
Karrablast,Black Bolt,94,Illustration Rare,holofoil,2026-07-20,19.57
Kecleon,Surging Sparks,213,Illustration Rare,holofoil,2026-07-20,8.52
Kingambit,Scarlet & Violet,220,Illustration Rare,holofoil,2026-07-20,10.57
Kirlia,Scarlet & Violet,212,Illustration Rare,holofoil,2026-07-20,47.43
Klang,Black Bolt,140,Illustration Rare,holofoil,2026-07-20,7.15
Klawf,Scarlet & Violet,217,Illustration Rare,holofoil,2026-07-20,5.71
Klink,Black Bolt,139,Illustration Rare,holofoil,2026-07-20,9.26
Klinklang,Black Bolt,141,Illustration Rare,holofoil,2026-07-20,33.07
Krokorok,Black Bolt,136,Illustration Rare,holofoil,2026-07-20,14.52
Krookodile,Black Bolt,137,Illustration Rare,holofoil,2026-07-20,60.22
Lairon,Twilight Masquerade,184,Illustration Rare,holofoil,2026-07-20,6.27
Lampent,White Flare,102,Illustration Rare,holofoil,2026-07-20,17.91
Landorus,Black Bolt,131,Illustration Rare,holofoil,2026-07-20,32.29
Larvesta,Surging Sparks,196,Illustration Rare,holofoil,2026-07-20,2.98
Larvesta,Black Bolt,99,Illustration Rare,holofoil,2026-07-20,16.26
Larvitar,Obsidian Flames,203,Illustration Rare,holofoil,2026-07-20,6.76
Latios,Surging Sparks,203,Illustration Rare,holofoil,2026-07-20,29.46
Leavanny,White Flare,89,Illustration Rare,holofoil,2026-07-20,43.37
Lechonk,Obsidian Flames,209,Illustration Rare,holofoil,2026-07-20,14.25
Ledian,Stellar Crown,144,Illustration Rare,holofoil,2026-07-20,6.89
Lickitung,Temporal Forces,180,Illustration Rare,holofoil,2026-07-20,30.66
Liepard,White Flare,137,Illustration Rare,holofoil,2026-07-20,47.96
Lileep,Stellar Crown,145,Illustration Rare,holofoil,2026-07-20,8.81
Lillie's Ribombee,Journey Together,164,Illustration Rare,holofoil,2026-07-20,5.64
Lilligant,Black Bolt,92,Illustration Rare,holofoil,2026-07-20,60.67
Lillipup,White Flare,154,Illustration Rare,holofoil,2026-07-20,36.48
Litleo,Mega Evolution,139,Illustration Rare,holofoil,2026-07-20,3.9
Litten,Temporal Forces,167,Illustration Rare,holofoil,2026-07-20,41.75
Litwick,White Flare,101,Illustration Rare,holofoil,2026-07-20,30.91
Loudred,Paradox Rift,212,Illustration Rare,holofoil,2026-07-20,16.77
Ludicolo,Phantasmal Flames,95,Illustration Rare,holofoil,2026-07-20,2.33
Lycanroc,Journey Together,166,Illustration Rare,holofoil,2026-07-20,2.98
Mabosstiff,Scarlet & Violet,218,Illustration Rare,holofoil,2026-07-20,8.39
Machoke,151,177,Illustration Rare,holofoil,2026-07-20,23.2
Magby,Paradox Rift,186,Illustration Rare,holofoil,2026-07-20,23.5
Magikarp,Paldea Evolved,203,Illustration Rare,holofoil,2026-07-20,425.03
Mandibuzz,White Flare,145,Illustration Rare,holofoil,2026-07-20,10.05
Mantyke,Paradox Rift,189,Illustration Rare,holofoil,2026-07-20,40.55
Maractus,Journey Together,160,Illustration Rare,holofoil,2026-07-20,2.24
Maractus,Black Bolt,93,Illustration Rare,holofoil,2026-07-20,8.22
Marill,Paldea Evolved,204,Illustration Rare,holofoil,2026-07-20,60.88
Marshadow,Mega Evolution,146,Illustration Rare,holofoil,2026-07-20,15.05
Maushold,Paldea Evolved,226,Illustration Rare,holofoil,2026-07-20,100.38
Meditite,Stellar Crown,153,Illustration Rare,holofoil,2026-07-20,7.45
Meltan,Temporal Forces,179,Illustration Rare,holofoil,2026-07-20,6.44
Meowth,Phantasmal Flames,106,Illustration Rare,holofoil,2026-07-20,21.71
Mesprit,Surging Sparks,204,Illustration Rare,holofoil,2026-07-20,13.56
Metagross,Temporal Forces,178,Illustration Rare,holofoil,2026-07-20,40.35
Mienfoo,White Flare,133,Illustration Rare,holofoil,2026-07-20,14.96
Mienshao,Paradox Rift,200,Illustration Rare,holofoil,2026-07-20,10.24
Mienshao,White Flare,134,Illustration Rare,holofoil,2026-07-20,9.47
Milcery,Stellar Crown,152,Illustration Rare,holofoil,2026-07-20,19.5
Minccino,Temporal Forces,182,Illustration Rare,holofoil,2026-07-20,27.63
Minccino,Black Bolt,152,Illustration Rare,holofoil,2026-07-20,26.16
Minior,Paradox Rift,201,Illustration Rare,holofoil,2026-07-20,26.75
Minun,Paradox Rift,194,Illustration Rare,holofoil,2026-07-20,43.99
Mismagius,Paldea Evolved,212,Illustration Rare,holofoil,2026-07-20,41.17
Misty's Lapras,Destined Rivals,194,Illustration Rare,holofoil,2026-07-20,38.7
Misty's Psyduck,Destined Rivals,193,Illustration Rare,holofoil,2026-07-20,68.9
Morpeko,Paradox Rift,206,Illustration Rare,holofoil,2026-07-20,51.01
Mr. Mime,151,179,Illustration Rare,holofoil,2026-07-20,14.65
Mudsdale,Temporal Forces,175,Illustration Rare,holofoil,2026-07-20,10.68
Munkidori,Shrouded Fable,72,Illustration Rare,holofoil,2026-07-20,42.96
Munna,Black Bolt,116,Illustration Rare,holofoil,2026-07-20,19.97
Musharna,Black Bolt,117,Illustration Rare,holofoil,2026-07-20,12.19
N's Reshiram,Journey Together,167,Illustration Rare,holofoil,2026-07-20,20.69
Nacli,Paldea Evolved,220,Illustration Rare,holofoil,2026-07-20,7.06
Nidoking,151,174,Illustration Rare,holofoil,2026-07-20,21.02
Ninetales,Obsidian Flames,199,Illustration Rare,holofoil,2026-07-20,36.83
Ninjask,Mega Evolution,137,Illustration Rare,holofoil,2026-07-20,4.2
Noibat,Journey Together,169,Illustration Rare,holofoil,2026-07-20,6.55
Nymble,Phantasmal Flames,96,Illustration Rare,holofoil,2026-07-20,1.55
Okidogi,Shrouded Fable,74,Illustration Rare,holofoil,2026-07-20,18.02
Omanyte,151,180,Illustration Rare,holofoil,2026-07-20,16.07
Orthworm,Paldea Evolved,224,Illustration Rare,holofoil,2026-07-20,6.79
Oshawott,White Flare,105,Illustration Rare,holofoil,2026-07-20,92.97
Pachirisu,Scarlet & Violet,208,Illustration Rare,holofoil,2026-07-20,21.08
Palafin,Obsidian Flames,200,Illustration Rare,holofoil,2026-07-20,5.29
Palafin,Paldean Fates,225,Illustration Rare,holofoil,2026-07-20,2.21
Paldean Tauros,Paldea Evolved,218,Illustration Rare,holofoil,2026-07-20,18.29
Paldean Wooper,Paldea Evolved,221,Illustration Rare,holofoil,2026-07-20,15.73
Paldean Wooper,Phantasmal Flames,102,Illustration Rare,holofoil,2026-07-20,4.32
Palpitoad,Black Bolt,104,Illustration Rare,holofoil,2026-07-20,18.62
Panpour,Black Bolt,101,Illustration Rare,holofoil,2026-07-20,16.48
Pansage,Black Bolt,89,Illustration Rare,holofoil,2026-07-20,25.55
Pansear,White Flare,99,Illustration Rare,holofoil,2026-07-20,15.54
Patrat,White Flare,152,Illustration Rare,holofoil,2026-07-20,13.03
Pawmi,Paldean Fates,226,Illustration Rare,holofoil,2026-07-20,3.44
Pawmot,Scarlet & Violet,209,Illustration Rare,holofoil,2026-07-20,10.87
Pawniard,Black Bolt,142,Illustration Rare,holofoil,2026-07-20,8.89
Persian,Shrouded Fable,78,Illustration Rare,holofoil,2026-07-20,74.1
Petilil,Black Bolt,91,Illustration Rare,holofoil,2026-07-20,30.12
Phanpy,Surging Sparks,205,Illustration Rare,holofoil,2026-07-20,9.37
Phione,Twilight Masquerade,175,Illustration Rare,holofoil,2026-07-20,13.29
Pidgeotto,Obsidian Flames,208,Illustration Rare,holofoil,2026-07-20,10.09
Pidgey,Obsidian Flames,207,Illustration Rare,holofoil,2026-07-20,20.2
Pidove,Black Bolt,148,Illustration Rare,holofoil,2026-07-20,41.91
Pignite,White Flare,97,Illustration Rare,holofoil,2026-07-20,14.34
Pikachu,151,173,Illustration Rare,holofoil,2026-07-20,97.78
Pinsir,Twilight Masquerade,168,Illustration Rare,holofoil,2026-07-20,16.21
Piplup,Phantasmal Flames,98,Illustration Rare,holofoil,2026-07-20,14.28
Plusle,Paradox Rift,193,Illustration Rare,holofoil,2026-07-20,50.09
Poliwhirl,151,176,Illustration Rare,holofoil,2026-07-20,48.28
Poltchageist,Twilight Masquerade,171,Illustration Rare,holofoil,2026-07-20,6.34
Porygon-Z,Paradox Rift,214,Illustration Rare,holofoil,2026-07-20,14.86
Probopass,Twilight Masquerade,182,Illustration Rare,holofoil,2026-07-20,4.59
Psyduck,151,175,Illustration Rare,holofoil,2026-07-20,72.72
Purrloin,White Flare,136,Illustration Rare,holofoil,2026-07-20,20.56
Pyroar,Paldea Evolved,200,Illustration Rare,holofoil,2026-07-20,20.71
Quaxly,Paldea Evolved,206,Illustration Rare,holofoil,2026-07-20,20.38
Quaxwell,Paldea Evolved,207,Illustration Rare,holofoil,2026-07-20,10.95
Raboot,Stellar Crown,147,Illustration Rare,holofoil,2026-07-20,8.62
Rabsca,Paldea Evolved,215,Illustration Rare,holofoil,2026-07-20,6.25
Raichu,Paldea Evolved,211,Illustration Rare,holofoil,2026-07-20,115.79
Ralts,Scarlet & Violet,211,Illustration Rare,holofoil,2026-07-20,46.77
Rapidash,Destined Rivals,189,Illustration Rare,holofoil,2026-07-20,9.07
Relicanth,Temporal Forces,173,Illustration Rare,holofoil,2026-07-20,12.89
Reuniclus,Temporal Forces,171,Illustration Rare,holofoil,2026-07-20,16.34
Riolu,Scarlet & Violet,215,Illustration Rare,holofoil,2026-07-20,38.54
Roggenrola,White Flare,127,Illustration Rare,holofoil,2026-07-20,13.63
Rookidee,Paldea Evolved,225,Illustration Rare,holofoil,2026-07-20,11.88
Rotom,Destined Rivals,197,Illustration Rare,holofoil,2026-07-20,4.07
Rufflet,Black Bolt,154,Illustration Rare,holofoil,2026-07-20,9.05
Samurott,White Flare,107,Illustration Rare,holofoil,2026-07-20,52.07
Sandile,Scarlet & Violet,216,Illustration Rare,holofoil,2026-07-20,6.73
Sandile,Black Bolt,135,Illustration Rare,holofoil,2026-07-20,18.39
Sandygast,Paldea Evolved,214,Illustration Rare,holofoil,2026-07-20,10.97
Sawk,White Flare,130,Illustration Rare,holofoil,2026-07-20,16.78
Sawsbuck,Temporal Forces,166,Illustration Rare,holofoil,2026-07-20,60.12
Sawsbuck,White Flare,92,Illustration Rare,holofoil,2026-07-20,41.92
Scizor,Obsidian Flames,205,Illustration Rare,holofoil,2026-07-20,17.68
Scolipede,Black Bolt,134,Illustration Rare,holofoil,2026-07-20,30.32
Scovillain,Scarlet & Violet,202,Illustration Rare,holofoil,2026-07-20,6.13
Scrafty,White Flare,139,Illustration Rare,holofoil,2026-07-20,26.83
Scraggy,White Flare,138,Illustration Rare,holofoil,2026-07-20,23.15
Seismitoad,Black Bolt,105,Illustration Rare,holofoil,2026-07-20,255.53
Servine,Black Bolt,88,Illustration Rare,holofoil,2026-07-20,19.34
Sewaddle,White Flare,87,Illustration Rare,holofoil,2026-07-20,19.73
Shaymin,Destined Rivals,185,Illustration Rare,holofoil,2026-07-20,12.36
Shedinja,Mega Evolution,144,Illustration Rare,holofoil,2026-07-20,3.02
Shelmet,White Flare,93,Illustration Rare,holofoil,2026-07-20,9.07
Shiftry,Temporal Forces,163,Illustration Rare,holofoil,2026-07-20,12.73
Shiinotic,Surging Sparks,194,Illustration Rare,holofoil,2026-07-20,3.79
Shroodle,Mega Evolution,149,Illustration Rare,holofoil,2026-07-20,2.12
Shuckle,Mega Evolution,136,Illustration Rare,holofoil,2026-07-20,6.4
Sigilyph,White Flare,121,Illustration Rare,holofoil,2026-07-20,12.53
Simipour,Black Bolt,102,Illustration Rare,holofoil,2026-07-20,14.21
Simisage,Black Bolt,90,Illustration Rare,holofoil,2026-07-20,12.6
Simisear,White Flare,100,Illustration Rare,holofoil,2026-07-20,18.57
Skarmory,Surging Sparks,209,Illustration Rare,holofoil,2026-07-20,10.77
Skwovet,Scarlet & Violet,222,Illustration Rare,holofoil,2026-07-20,9.16
Slakoth,Surging Sparks,212,Illustration Rare,holofoil,2026-07-20,13.9
Slither Wing,Paradox Rift,203,Illustration Rare,holofoil,2026-07-20,6.39
Slowpoke,Scarlet & Violet,204,Illustration Rare,holofoil,2026-07-20,41.58
Snivy,Black Bolt,87,Illustration Rare,holofoil,2026-07-20,33.89
Snom,Temporal Forces,168,Illustration Rare,holofoil,2026-07-20,18.64
Snorunt,Paradox Rift,188,Illustration Rare,holofoil,2026-07-20,10.55
Snover,Mega Evolution,140,Illustration Rare,holofoil,2026-07-20,2.37
Solosis,Black Bolt,118,Illustration Rare,holofoil,2026-07-20,34.28
Spearow,Mega Evolution,151,Illustration Rare,holofoil,2026-07-20,3.96
Spheal,Surging Sparks,199,Illustration Rare,holofoil,2026-07-20,9.51
Spiritomb,Mega Evolution,148,Illustration Rare,holofoil,2026-07-20,2.57
Sprigatito,Paldea Evolved,196,Illustration Rare,holofoil,2026-07-20,65.63
Squirtle,151,170,Illustration Rare,holofoil,2026-07-20,91.35
Squirtle,Stellar Crown,148,Illustration Rare,holofoil,2026-07-20,118.72
Starly,Scarlet & Violet,221,Illustration Rare,holofoil,2026-07-20,14.01
Steelix,Paradox Rift,208,Illustration Rare,holofoil,2026-07-20,41.72
Steelix,Mega Evolution,150,Illustration Rare,holofoil,2026-07-20,8.53
Stoutland,White Flare,156,Illustration Rare,holofoil,2026-07-20,29.14
Stufful,Mega Evolution,154,Illustration Rare,holofoil,2026-07-20,6.89
Stunfisk,Surging Sparks,202,Illustration Rare,holofoil,2026-07-20,2.38
Stunfisk,White Flare,118,Illustration Rare,holofoil,2026-07-20,6.9
Sudowoodo,Paldea Evolved,219,Illustration Rare,holofoil,2026-07-20,29.75
